UniqueID,MangoNum,TreeInfo,Weight,Flotation,Size,Category
BGLW100T1M01OT,1,T1 Out,287.0,F,M,E
BGLW100T1M02OT,2,T1 Out,286.0,F,M,E
BGLW100T1M03OT,3,T1 Out,242.0,F,,L
BGLW100T1M04OT,4,T1 Out,208.0,F,,L
BGLW100T1M05OT,5,T1 Out,278.0,F,S,E
BGLW100T1M06OT,6,T1 Out,312.0,F,M,E
BGLW100T1M07OT,7,T1 Out,287.0,F,M,E
BGLW100T1M08OT,8,T1 Out,339.0,F,M,E
BGLW100T1M09OT,9,T1 Out,363.0,F,,R
BGLW100T1M10OT,10,T1 Out,306.0,F,,R
BGLW100T1M11OT,11,T1 Out,351.0,F,,R
BGLW100T1M12OT,12,T1 Out,252.0,F,,R
BGLW100T1M13OT,13,T1 Out,291.0,F,M,E
BGLW100T1M14OT,14,T1 Out,325.0,F,M,E
BGLW100T1M15OT,15,T1 Out,258.0,F,,R
BGLW100T1M16IN,16,T1 Inside,370.0,F,L,E
BGLW100T1M17IN,17,T1 Inside,232.0,F,,L
BGLW100T1M18IN,18,T1 Inside,280.0,F,S,E
BGLW100T1M19IN,19,T1 Inside,140.0,F,,R
BGLW100T1M20IN,20,T1 Inside,297.0,F,,R
BGLW100T1M21IN,21,T1 Inside,225.0,S,,R
BGLW100T1M22IN,22,T1 Inside,323.0,F,M,E
BGLW100T1M23IN,23,T1 Inside,244.0,F,S,E
BGLW100T1M24IN,24,T1 Inside,269.0,F,,R
BGLW100T1M25IN,25,T1 Inside,238.0,F,S,E
BGLW100T1M26IN,26,T1 Inside,275.0,F,M,E
BGLW100T1M27IN,27,T1 Inside,197.0,F,,R
BGLW100T1M28IN,28,T1 Inside,265.0,F,S,E
BGLW100T1M29IN,29,T1 Inside,262.0,F,,L
BGLW100T1M30IN,30,T1 Inside,270.0,F,,R
BGLW100T1M31TP,31,T1 Top,257.0,S,,L
BGLW100T1M32TP,32,T1 Top,263.0,S,S,E
BGLW100T1M33TP,33,T1 Top,301.0,S,M,E
BGLW100T1M34TP,34,T1 Top,274.0,S,M,E
BGLW100T1M35TP,35,T1 Top,275.0,S,M,E
BGLW100T1M36TP,36,T1 Top,244.0,S,S,E
BGLW100T1M37TP,37,T1 Top,254.0,S,S,E
BGLW100T1M38TP,38,T1 Top,290.0,S,,R
BGLW100T1M39TP,39,T1 Top,254.0,S,S,E
BGLW100T1M40TP,40,T1 Top,193.0,S,,L
BGLW100T1M41TP,41,T1 Top,279.0,S,M,E
BGLW100T1M42TP,42,T1 Top,280.0,F,,R
BGLW100T1M43TP,43,T1 Top,264.0,S,M,E
BGLW100T1M44TP,44,T1 Top,312.0,S,M,E
BGLW100T1M45TP,45,T1 Top,296.0,S,M,E
BGLW100T2M46OT,46,T2 Out,301.0,S,M,E
BGLW100T2M47OT,47,T2 Out,351.0,S,L,E
BGLW100T2M48OT,48,T2 Out,365.0,S,,R
BGLW100T2M49OT,49,T2 Out,295.0,S,,L
BGLW100T2M50OT,50,T2 Out,276.0,F,,R
BGLW100T2M51OT,51,T2 Out,370.0,S,L,E
BGLW100T2M52OT,52,T2 Out,328.0,S,L,E
BGLW100T2M53OT,53,T2 Out,374.0,S,,R
BGLW100T2M54OT,54,T2 Out,365.0,F,L,E
BGLW100T2M55OT,55,T2 Out,355.0,S,L,E
BGLW100T2M56OT,56,T2 Out,323.0,S,,R
BGLW100T2M57OT,57,T2 Out,307.0,S,,L
BGLW100T2M58OT,58,T2 Out,300.0,S,M,E
BGLW100T2M59OT,59,T2 Out,326.0,S,M,E
BGLW100T2M60OT,60,T2 Out,326.0,S,M,E
BGLW100T2M61IN,61,T2 Inside,205.0,S,,L
BGLW100T2M62IN,62,T2 Inside,176.0,S,,L
BGLW100T2M63IN,63,T2 Inside,288.0,F,,L
BGLW100T2M64IN,64,T2 Inside,202.0,F,,L
BGLW100T2M65IN,65,T2 Inside,219.0,S,,L
BGLW100T2M66IN,66,T2 Inside,249.0,F,,L
BGLW100T2M67IN,67,T2 Inside,250.0,F,S,E
BGLW100T2M68IN,68,T2 Inside,311.0,F,,L
BGLW100T2M69IN,69,T2 Inside,284.0,F,,L
BGLW100T2M70IN,70,T2 Inside,212.0,S,,R
BGLW100T2M71IN,71,T2 Inside,251.0,F,S,M
BGLW100T2M72IN,72,T2 Inside,280.0,S,,R
BGLW100T2M73IN,73,T2 Inside,225.0,S,,L
BGLW100T2M74IN,74,T2 Inside,167.0,F,,R
BGLW100T2M75IN,75,T2 Inside,264.0,S,,L
BGLW100T2M76TP,76,T2 Top,329.0,S,M,E
BGLW100T2M77TP,77,T2 Top,335.0,S,M,E
BGLW100T2M78TP,78,T2 Top,315.0,S,M,E
BGLW100T2M79TP,79,T2 Top,311.0,S,M,E
BGLW100T2M80TP,80,T2 Top,325.0,S,M,E
BGLW100T2M81TP,81,T2 Top,357.0,S,M,E
BGLW100T2M82TP,82,T2 Top,373.0,S,L,E
BGLW100T2M83TP,83,T2 Top,196.0,S,,L
BGLW100T2M84TP,84,T2 Top,345.0,F,M,E
BGLW100T2M85TP,85,T2 Top,386.0,S,L,E
BGLW100T2M86TP,86,T2 Top,270.0,S,S,E
BGLW100T2M87TP,87,T2 Top,336.0,S,M,E
BGLW100T2M88TP,88,T2 Top,281.0,S,S,E
BGLW100T2M89TP,89,T2 Top,274.0,S,,R
BGLW100T2M90TP,90,T2 Top,315.0,S,,R
BGLW100T3M91OT,91,T3 Out,291.0,S,M,E
BGLW100T3M92OT,92,T3 Out,240.0,S,,L
BGLW100T3M93OT,93,T3 Out,254.0,S,,E
BGLW100T3M94OT,94,T3 Out,221.0,S,S,E
BGLW100T3M95OT,95,T3 Out,216.0,F,M,E
BGLW100T3M96OT,96,T3 Out,229.0,S,M,E
BGLW100T3M97OT,97,T3 Out,257.0,S,S,E
BGLW100T3M98OT,98,T3 Out,254.0,S,S,E
BGLW100T3M99OT,99,T3 Out,265.0,S,S,E
BGLW100T3M100OT,100,T3 Out,194.0,S,,L
BGLW100T3M101OT,101,T3 Out,286.0,S,M,E
BGLW100T3M102OT,102,T3 Out,264.0,S,S,E
BGLW100T3M103OT,103,T3 Out,256.0,S,S,E
BGLW100T3M104OT,104,T3 Out,249.0,F,S,E
BGLW100T3M105OT,105,T3 Out,280.0,S,M,E
BGLW100T3M106IN,106,T3 Inside,270.0,S,S,E
BGLW100T3M107IN,107,T3 Inside,214.0,S,S,E
BGLW100T3M108IN,108,T3 Inside,170.0,F,,L
BGLW100T3M109IN,109,T3 Inside,286.0,S,M,E
BGLW100T3M110IN,110,T3 Inside,165.0,S,,R
BGLW100T3M111IN,111,T3 Inside,193.0,F,,L
BGLW100T3M112IN,112,T3 Inside,289.0,S,M,E
BGLW100T3M113IN,113,T3 Inside,225.0,S,S,E
BGLW100T3M114IN,114,T3 Inside,167.0,F,,L
BGLW100T3M115IN,115,T3 Inside,306.0,F,M,E
BGLW100T3M116IN,116,T3 Inside,163.0,F,,R
BGLW100T3M117IN,117,T3 Inside,201.0,F,,L
BGLW100T3M118IN,118,T3 Inside,294.0,S,M,E
BGLW100T3M119IN,119,T3 Inside,295.0,F,S,E
BGLW100T3M120IN,120,T3 Inside,95.0,F,,R
BGLW100T3M121TP,121,T3 Top,165.0,,,R
BGLW100T3M122TP,122,T3 Top,275.0,,S,L
BGLW100T3M123TP,123,T3 Top,155.0,,,R
BGLW100T3M124TP,124,T3 Top,146.0,,,R
BGLW100T3M125TP,125,T3 Top,176.0,,,R
BGLW100T3M126TP,126,T3 Top,167.0,,,R
BGLW100T3M127TP,127,T3 Top,205.0,,,R
BGLW100T3M128TP,128,T3 Top,250.0,,,R
BGLW100T3M129TP,129,T3 Top,190.0,,,R
BGLW100T3M130TP,130,T3 Top,185.0,,,R
BGLW100T3M131TP,131,T3 Top,206.0,,,R
BGLW100T3M132TP,132,T3 Top,240.0,,S,E
BGLW100T3M133TP,133,T3 Top,231.0,,S,E
BGLW100T3M134TP,134,T3 Top,255.0,,S,E
BGLW100T3M135TP,135,T3 Top,248.0,,L,
BGLW105T1M01OT,1,T1 Out,355.0,F,M,E
BGLW105T1M02OT,2,T1 Out,342.0,F,M,E
BGLW105T1M03OT,3,T1 Out,325.0,F,M,E
BGLW105T1M04OT,4,T1 Out,293.0,F,M,E
BGLW105T1M05OT,5,T1 Out,286.0,F,M,E
BGLW105T1M06OT,6,T1 Out,305.0,S,M,E
BGLW105T1M07OT,7,T1 Out,264.0,F,M,E
